1425507556742,
1425507576702,98,83,99,89
1425507596704,63,51,77,86
1425507616700,65,51,93,117
1425507636710,51,60,104,150
1425507656711,54,58,122,169
1425507676700,63,59,139,185
1425507696714,61,54,148,210
1425507716704,65,59,152,225
1425507736701,72,67,158,235
1425507756701,69,50,175,0
1425507776712,61,56,199,0
1425507796703,53,56,203,0
1425507816715,51,68,214,0
1425507836701,73,66,227,0
1425507856700,58,69,0,0
1425507876714,86,96,0,0
1425507896701,127,128,0,0
1425507916710,150,163,0,0
1425507936714,177,164,0,0
1425507956699,200,194,0,0
1425507976702,208,204,0,0
1425507996715,213,213,0,0
1425508016703,222,229,0,0
1425508036710,231,234,0,0
1425508056701,0,232,0,0
1425508076715,0,0,0,0
1425508096690,0,0,0,0
1425508116713,0,0,0,0
1425508136702,0,0,0,0
1425508156713,0,0,0,0
1425508176701,0,0,0,0
1425508196714,0,0,0,0
1425508216701,0,0,0,0
1425508236714,0,0,0,0
